Date,topic,content,url
2021-06-04T14:00:00.000Z,American Airlines to Webcast Annual Meeting of Stockholders,"FORT WORTH, Texas, June 04, 2021 (GLOBE NEWSWIRE) -- American Airlines Group (NASDAQ: AAL) will conduct a live audio webcast of the formal business of its virtual annual meeting of stockholders Wednesday, June 9, at 9 a.m. CT. The webcast will be available to the public on a listen-only basis at aa.com/investorrelations, and an archive of the webcast will be available afterward. About American Airlines Group
American’s purpose is to care for people on life’s journey. Shares of American Airlines Group Inc. trade on Nasdaq under the ticker symbol AAL and the company’s stock is included in the S&P 500. Learn more about what’s happening at American by visiting news.aa.com and connect with American on Twitter @AmericanAir and at Facebook.com/AmericanAirlines. Investor Relations
investor.relations@aa.com ",https://finance.yahoo.com/news/american-airlines-webcast-annual-meeting-140000623.html
2021-06-08T00:46:00.000Z,"NexGen to Webcast Annual General Meeting and Presentation by Management on June 10, 2021CNW Group","VANCOUVER, BC, June 7, 2021 /CNW/ - NexGen Energy Ltd. (""NexGen"" or the ""Company"") (TSX: NXE) (NYSE: NXE) announces that due to COVID-19 protocols, the Company will be providing a webcast facility, in addition to the previously announced teleconference facility and is encouraging participants to follow the conduct of the Annual General Meeting (""AGM"") via these facilities and not in person. A presentation by Leigh Curyer, Chief Executive Officer, will follow the formal portion of the AGM, after which a question-and-answer session will be held. Participants of the webcast and teleconference facilities will be able to participate in the question-and-answer session following the formal part of the AGM and presentation. All shareholders are encouraged to vote on the matters before the AGM, by proxy, telephone, over the Internet, or by voting instruction form, in each case in the manner set out in the Notice of Meeting and Management Information Circular dated April 30, 2021. The voting deadline for shareholders not attending the AGM in person is 2:00 p.m. (Pacific time) on Tuesday, June 8, 2021. Webcast and Conference Call Details NexGen will host a webcast and conference call for the AGM and management presentation on Thursday, June 10, 2021, at 2:00 p.m. (Pacific Time). To join the call please dial: International Callers: (+1) 416 764 8659 North America Callers: (+1) 1-888-664-6392 Conference ID: 33931792 To join the webcast, please copy the following link to your browser 5 – 10 minutes before the AGM start time, where you will be directed to join the webcast: https://produceredition.webcasts.com/starthere.jsp?ei=1468939&tp_key=548a5fb531 NexGen encourages shareholders to read the meeting materials, which have been filed on SEDAR (www.sedar.com) and are available on the Company's website at https://www.nexgenenergy.ca/investors/agm/. Shareholder Information and Questions NexGen shareholders who have questions about the Management Information Circular, or require assistance with voting their shares can contact the Company's proxy solicitation agent, Laurel Hill Advisory Group:             ",https://finance.yahoo.com/news/nexgen-webcast-annual-general-meeting-004600921.html
2021-06-07T20:30:00.000Z,HEXO Corp to Release Fiscal Third Quarter 2021 Financial Results and Host Investor WebcastGlobeNewswire,"OTTAWA, June 07, 2021 (GLOBE NEWSWIRE) -- HEXO Corp (“HEXO”, or the “Company”) (TSX: HEXO; NYSE: HEXO) plans to release its financial results for the fiscal third quarter 2021, before market hours on June 14, 2021, as well as host a webcast for investors beginning at 8:30 a.m. ET. Webcast Details
Date: June 14, 2021
Time: 8:30 a.m. ET
Webcast: https://event.on24.com/wcc/r/3081628/E4BE698102B436FE02D50AD0539C6797

For previous quarterly results and recent press releases, see hexocorp.com.

About HEXO Corp (TSX: HEXO; NYSE: HEXO)
HEXO is an award-winning licensed producer of innovative products for the global cannabis market. HEXO serves the Canadian recreational market with a brand portfolio including HEXO, UP Cannabis, Original Stash, Bake Sale, Namaste, and REUP brands, and the medical market in Canada, Israel and Malta. The Company also serves the Colorado market through its Powered by HEXO® strategy and Truss CBD USA, a joint-venture with Molson Coors. In the event that the previously announced transactions to acquire 48North and Redecan close, HEXO expects to be the number one cannabis products company in Canada by recreational market share. For more information, please visit www.hexocorp.com. Contact Investor Relations:
invest@hexo.com
www.hexocorp.com Media Relations:
(819) 317-0526
media@hexo.com  ",https://finance.yahoo.com/news/hexo-corp-release-fiscal-third-203000582.html
2021-06-04T12:36:50.000Z,Is American Airlines Stock A Buy As Peak Travel Season Nears?,https://www.investors.com/research/aal-stock-buy-now/?src=A00220,https://finance.yahoo.com/m/d3a2667e-a8d6-3986-94d9-c1c945edff7c/is-american-airlines-stock-a.html
2021-06-03T15:59:00.000Z,"United is going supersonic, but airline stocks fall on mixed guidance and broader worries about troubled sector",https://www.marketwatch.com/story/united-is-going-supersonic-but-airline-stocks-fall-on-mixed-guidance-and-broader-worries-about-troubled-sector-11622735986?siteid=yhoof2,https://finance.yahoo.com/m/f3ac96d9-0626-3317-aa16-dd81a65e3932/united-is-going-supersonic-.html
2021-06-03T15:55:00.000Z,2 Hot Robinhood Stocks That Might Cool Off in June,https://www.fool.com/investing/2021/06/03/2-hot-robinhood-stocks-that-might-cool-off-in-june/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,https://finance.yahoo.com/m/d1065d11-cf95-3d91-ada7-5e2fac664e0f/2-hot-robinhood-stocks-that.html
2021-06-03T12:20:30.000Z,"American Airlines still sees Q2 system capacity down 20% to 25%, revenue down about 40%",https://www.marketwatch.com/story/american-airlines-still-sees-q2-system-capacity-down-20-to-25-revenue-down-about-40-2021-06-03?siteid=yhoof2,https://finance.yahoo.com/m/76c1c2a0-9483-3e6c-9100-f819293d74a4/american-airlines-still-sees.html
2021-06-02T00:00:00.000Z,US airlines divided over strength of summer travel rebound,"http://www.ft.com/cms/s/f2b5c664-3229-4b60-b322-ebf45fb133b5,s01=1.html?ftcamp=traffic/partner/feed_headline/us_yahoo/auddev",https://finance.yahoo.com/m/fffe7160-ed83-3c8a-96cb-36f1e6133db1/us-airlines-divided-over.html
2021-06-01T12:38:12.000Z,"The Zacks Analyst Blog Highlights: Southwest Airlines, American Airlines, United Airlines, Delta Air Lines and JetBlue Airways","Chicago, IL – June 1, 2021 – Zacks.com announces the list of stocks featured in the Analyst Blog. Every day the Zacks Equity Research analysts discuss the latest news and events impacting stocks and the financial markets. Stocks recently featured in the blog include: Southwest Airlines Co. LUV, American Airlines Group Inc. AAL, United Airlines Holdings Inc. UAL, Delta Air Lines Inc. DAL and JetBlue Airways Corporation JBLU. The U.S. airline industry was almost at the brink of collapse as the pandemic shut down borders and people stayed confined to their homes last year. This, however, seems to be changing as restrictions continue to get eased and the economy further reopens. Although the road to recovery is long and tough, the process seems to have started as millions of Americans appear a bit confident with the vaccination drive in full swing. Given this scenario, this summer could prove to be a great one for the U.S. airlines industry, with ticket sales and traffic already pickling up. With almost 50% of Americans above the age of 18 having received at least one dose of the COVID-19 vaccine, people are a lot more confident. This has also seen the Centers for Disease Control and Preventions (CDC) easing restrictions. Fully vaccinated people are now no longer required to wear marks indoors or outdoors. The CDC has also revised its travel guidelines. Although people need to wear masks while flying, those who are fully vaccinated or have recovered from COVID-19 in the past three months, no longer need to get tested or self-quarantine upon traveling. The past few weeks have already seen airlines getting busier as more people are booking tickets and traveling. According to a Simply Flying report, the Transportation Security Administration witnessed a whopping 1.85 million passengers flying across the United States on May 16. If the trend continues, airline companies are likely to see a great summer.                   ",https://finance.yahoo.com/news/zacks-analyst-blog-highlights-southwest-123812341.html
2021-05-31T17:25:53.000Z,Boeing Shares Down 1.5% on 787 Dreamliners Delivery Delays – Report,"Shares of Boeing (BA) declined 1.5% on Friday as the company has paused deliveries of its 787 Dreamliners, according to the Wall Street Journal. American Airlines (AAL) was expected to receive a new Dreamliner this week. However, the delivery cannot be fulfilled by Boeing until next week at the earliest. The delay follows a recent 5-month suspension in deliveries of aircraft due to production issues. Last year, a review of Boeing’s Dreamliner production was initiated by the Federal Aviation Administration (FAA), which has increased scrutiny of the company’s 737 MAX manufacturing operations following earlier factory slip-ups. The FAA recently requested more information about the company’s proposed solution for addressing previously identified quality lapses. (See Boeing stock analysis on TipRanks) Boeing told the WSJ that it is working in a speedily and transparent manner to give out the details. The company is required to prove that its inspection method, which is time-consuming and labor-intensive, adheres to the federal safety regulations. Last month, Boeing CEO David Calhoun revealed plans to deliver 10-12 Dreamliners every month. With the recent development, the company will most likely miss that target. The delivery halt could bring further pressure on the company’s finances since customers usually pay most of the aircraft’s price on receipt of the aircraft. On May 25, Morgan Stanley analyst Kristine Liwag maintained a Buy rating and a price target of $274 (10.9% upside potential) on the stock. Liwag believes that 737 aircraft are flying at an increasing number of airlines both in the U.S. and internationally. He added, “Airlines have shown some improvement in the number of flights following the grounding of 737 MAX planes in April. WoW, AAL had an increase of 29% while UAL had an increase of 46%.” Overall, the stock has a Moderate Buy consensus rating based on 7 Buys and 7 Holds. The average analyst price target of $270 implies 9.3% upside potential from current levels. Shares of Boeing have jumped 63.2% over the past year.     ",https://finance.yahoo.com/news/boeing-shares-down-1-5-172553280.html
2021-05-31T01:08:00.000Z,American Airlines joins Southwest in extending suspension of alcohol sales,https://www.marketwatch.com/story/american-airlines-joins-southwest-in-extending-suspension-of-alcohol-sales-11622423318?siteid=yhoof2,https://finance.yahoo.com/m/b33e70f1-576f-3322-b87b-f1deb45bda6e/american-airlines-joins.html
2021-05-30T14:34:00.000Z,American Airlines Restricts Alcoholic Drinks Amid Reports of Rowdiness,https://www.thestreet.com/lifestyle/american-airlines-restricts-alcoholic-drinks-amid-reports-of-rowdiness?puc=yahoo&cm_ven=YAHOO,https://finance.yahoo.com/m/ac6f515c-ac8d-3a08-b920-82910689a1ed/american-airlines-restricts.html
2021-05-29T14:02:45.000Z,Top 25 Places to Visit in the US,"In this article we will take a look at the top 25 places to visit in the US. You can skip our detailed analysis of these American tourist attractions, and go directly to the Top 5 Places to Visit in the US. The US is one of the top travel destinations for people planning their vacations. The country has a lot to offer to tourists, including snow-covered peaks, beaches, redwood forests, and sumptuous cuisines. Especially in peak travel times, the country is brimming with international and domestic tourists. According to the data from International Trade Administration, over 19.4 million international visitors traveled to the U.S. in 2020 despite the coronavirus crisis. Effects of Covid-19 on Tourism in the U.S. Though the travel and tourism industry in the U.S. is always blooming, the impact of Covid-19 caused a deep dent in this sector. U.S.-based airlines suffered a whopping loss of $35 billion in 2020. American Airlines Group Inc. (NASDAQ: AAL) posted an annual loss of $8.9 billion, with a net loss of $2.8 billion in Q4. Moreover, the share price of American Airlines Group Inc. (NASDAQ: AAL) lost 45%, which is the biggest percentage decline since its merger with US Airways. Another major carrier, Delta Air Lines, Inc. (NYSE: DAL), posted a loss of $12.4 billion in 2020. United Airlines Holdings, Inc. (NASDAQ: UAL) reported a $7.1 billion loss for the year 2020. This loss also took away the jobs of thousands of employees working in these airline companies. Nearly 50,000 airline workers were laid off from their jobs in 2020. United Airlines Holdings, Inc. (NASDAQ: UAL) warned nearly a third of its staff about potential furloughs. The closure of borders for safety reasons was the main reason that international travel suffered the sharpest decline. The numbers from UN World Tourism Organization (UNWTO), compiled by McKinsey & Company, show that international tourist arrivals declined between 58 percent and 78 percent in 2020. The decline was not only witnessed in the international visitors, but the overall tourism and travel industry also suffered heavy losses. According to the U.S. Travel Association, the U.S. travel economy lost over $492 billion between March and December 2020.                                                        ",https://finance.yahoo.com/news/top-25-places-visit-us-140245669.html
2021-05-28T21:45:09.000Z,American Airlines (AAL) Stock Sinks As Market Gains: What You Should Know,"In the latest trading session, American Airlines (AAL) closed at $24.24, marking a -0.78% move from the previous day. This change lagged the S&P 500's daily gain of 0.08%. Heading into today, shares of the world's largest airline had gained 14.69% over the past month, outpacing the Transportation sector's gain of 3.28% and the S&P 500's gain of 0.41% in that time. Wall Street will be looking for positivity from AAL as it approaches its next earnings report date. The company is expected to report EPS of -$2.48, up 68.29% from the prior-year quarter. Meanwhile, the Zacks Consensus Estimate for revenue is projecting net sales of $7.15 billion, up 340.84% from the year-ago period. Looking at the full year, our Zacks Consensus Estimates suggest analysts are expecting earnings of -$8.72 per share and revenue of $27.91 billion. These totals would mark changes of +55.65% and +60.97%, respectively, from last year. Investors might also notice recent changes to analyst estimates for AAL. These revisions help to show the ever-changing nature of near-term business trends. With this in mind, we can consider positive estimate revisions a sign of optimism about the company's business outlook. Our research shows that these estimate changes are directly correlated with near-term stock prices. Investors can capitalize on this by using the Zacks Rank. This model considers these estimate changes and provides a simple, actionable rating system. The Zacks Rank system, which ranges from #1 (Strong Buy) to #5 (Strong Sell), has an impressive outside-audited track record of outperformance, with #1 stocks generating an average annual return of +25% since 1988. Within the past 30 days, our consensus EPS projection has moved 2.59% lower. AAL is currently sporting a Zacks Rank of #3 (Hold). The Transportation - Airline industry is part of the Transportation sector. This group has a Zacks Industry Rank of 230, putting it in the bottom 10% of all 250+ industries.   ",https://finance.yahoo.com/news/american-airlines-aal-stock-sinks-214509184.html
2021-05-28T16:36:00.000Z,Boeing Dreamliner Deliveries Face New Delays,https://www.wsj.com/articles/boeing-dreamliner-deliveries-face-new-delays-11622194201?mod=itp_wsj,https://finance.yahoo.com/m/e0058a76-b265-3562-b4c6-acf1cc9a5763/boeing-dreamliner-deliveries.html
